test_number,timestamp,category,prompt_length,response_length,gas_used,gas_price_gwei,gas_cost_eth,submit_time,confirm_time,total_commit_time,verify_time,retrieve_time,ipfs_cid,ipfs_pin_time,transaction_hash
1,2026-04-02T15:31:01.091086+00:00,short,12,41,234024,1.5,0.000351036,0.05373573303222656,10.924180030822754,10.97791576385498,0.13825631141662598,0.1404118537902832,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,64fb4fb0f4aae94ff0d8001f45f854b69f8ff278090648c1551c672adbb3e66f
2,2026-04-02T15:31:15.677064+00:00,short,21,41,234012,1.5,0.000351018,0.04812884330749512,8.464025259017944,8.51215410232544,0.13473987579345703,0.2005171775817871,QmUaoioqU7bxezBQZkUcgcSyoEhzStf9BMoQrnLP2bHSno,0.0,c73e8bbf7ed6197780d90b00bcc32069c7858212202296469410cdb46bc07e68
3,2026-04-02T15:31:27.911307+00:00,short,22,41,234024,1.5,0.000351036,0.05017495155334473,8.1092209815979,8.159395933151245,0.13746881484985352,0.13147592544555664,QmUaoioqU7bxezBQZkUcgcSyoEhzStf9BMoQrnLP2bHSno,0.0,e41720c3e0f86c9d291b25b686bdf5489531714e2b1773d4ada5ea229f144034
4,2026-04-02T15:31:39.675985+00:00,short,18,41,234024,1.5,0.000351036,0.05166316032409668,8.541016101837158,8.592679262161255,0.1357131004333496,0.17600679397583008,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,8f86bba1147b6c02178b90398335fc336fe999bd6c9e062c19c3084c32d06ba4
5,2026-04-02T15:31:51.933226+00:00,short,19,41,234024,1.5,0.000351036,0.04958605766296387,8.832041025161743,8.881627082824707,0.1354837417602539,0.1360788345336914,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,d3b5bce9b72ec8cb0914952262c1740f0f4de5c2d701f4d6eab452a151202931
6,2026-04-02T15:32:04.429844+00:00,short,12,41,234012,1.5,0.000351018,0.050987958908081055,8.282791137695312,8.333779096603394,0.12921500205993652,0.140228271484375,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,cdced59435c870df12cc11169ce67615a10f8072ebcbc907409d498b4c87964e
7,2026-04-02T15:32:16.368601+00:00,short,21,41,234024,1.5,0.000351036,0.07146000862121582,8.487961769104004,8.55942177772522,0.1320629119873047,0.17638707160949707,QmPZ9gcCEpqKTo6aq61g2nXGUhM4iCL3ewB6LDXZCtioEB,0.0,231aa94ebd483da1a569fd24c6dd149d0b3ee7d7bf17f4aff8dcc33b868642f5
8,2026-04-02T15:32:28.632589+00:00,short,22,41,234024,1.5,0.000351036,0.049069881439208984,7.6854636669158936,7.7345335483551025,0.13981175422668457,0.14369606971740723,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,091121bbccb5767bb32af48094606c1c907536cbe46126c9b6e516ac8b3ef3bb
9,2026-04-02T15:32:39.978280+00:00,short,18,41,234024,1.5,0.000351036,0.05212593078613281,9.594602108001709,9.646728038787842,0.13678193092346191,0.17313790321350098,QmUaoioqU7bxezBQZkUcgcSyoEhzStf9BMoQrnLP2bHSno,0.0,3108cdb499a9340094591fe084bc780f2d37b1dc6d00ad59eddeeb15a7ea3682
10,2026-04-02T15:32:53.277007+00:00,short,19,41,234024,1.5,0.000351036,0.0529179573059082,6.764528036117554,6.817445993423462,0.1347358226776123,0.17743396759033203,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,9456f410261b700039d013bad8448f2a9c46a2ff06e7f3b5834da85b4d0a6742
11,2026-04-02T15:33:03.762801+00:00,short,12,41,234024,1.5,0.000351036,0.07287788391113281,9.209168195724487,9.28204607963562,0.13700485229492188,0.13673901557922363,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,62f9f1238e66ad5a7222a424dfa4ed4626291ac88999bb357a929d9aeaed20b7
12,2026-04-02T15:33:16.654676+00:00,short,21,41,234024,1.5,0.000351036,0.05108785629272461,7.495913982391357,7.547001838684082,0.12379884719848633,0.18936705589294434,QmT5NvUtoM5nWFfrQdVrFtvGfKFmG7AHE8P34isapyhCxX,0.0,09b8671e14b5fb4ad3267c1fa06eba0d2dca9897d55d32145aa81ed31c0c8574
13,2026-04-02T15:33:27.878958+00:00,short,22,41,234024,1.5,0.000351036,0.04581093788146973,8.468862295150757,8.514673233032227,0.20142388343811035,0.132887601852417,QmPZ9gcCEpqKTo6aq61g2nXGUhM4iCL3ewB6LDXZCtioEB,0.0,5540f6c475eed8fff15051a09aabd23d4b8e86e9df6a51794f2a68849efaefb8
17,2026-04-02T15:33:50.223377+00:00,short,21,41,234024,1.5,0.000351036,0.04938912391662598,10.657577991485596,10.706967115402222,0.13552212715148926,0.20543909072875977,QmT5NvUtoM5nWFfrQdVrFtvGfKFmG7AHE8P34isapyhCxX,0.0,7470ba5f8d512a735da64389af71b51a16f5db181295f6c6ebc16b2224d8fb71
21,2026-04-02T15:34:15.954552+00:00,medium,222,480,234024,1.5,0.000351036,0.0527191162109375,20.5629460811615,20.615665197372437,0.13188505172729492,0.1715221405029297,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,b8119d58f328444af13f27a8e70114d6b5a0aec5c9ba37837b1b55abdb62d9f2
25,2026-04-02T15:34:50.433614+00:00,medium,236,480,234024,1.5,0.000351036,0.11320018768310547,9.489832878112793,9.603033065795898,0.1283431053161621,0.15068697929382324,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,54e9ee822bcb97492e6161f877fd403bbf03435aa213bfe756b5572efa2e360e
29,2026-04-02T15:35:15.353927+00:00,medium,207,480,234024,1.5,0.000351036,0.04891610145568848,8.723022222518921,8.77193832397461,0.12899994850158691,0.1332249641418457,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,94435c89f0407dc174348bc1fce6174c6ee070eb67c764c23741d1982a16ee2e
30,2026-04-02T15:35:27.727851+00:00,medium,222,480,234024,1.5,0.000351036,0.0504000186920166,8.903799057006836,8.954199075698853,0.1305990219116211,0.1379399299621582,QmPZ9gcCEpqKTo6aq61g2nXGUhM4iCL3ewB6LDXZCtioEB,0.0,0ce68c8fe0d2f2dd514ead42f797504427fb2965cbd1dfb23f369200ae13aac7
34,2026-04-02T15:35:50.485157+00:00,medium,236,480,234024,1.5,0.000351036,0.048707008361816406,10.345278978347778,10.393985986709595,0.14279484748840332,0.14042901992797852,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,320769db68c6a94f4ad60da3dd561432d175cee3cf382ac2d09e00237dcc11ac
38,2026-04-02T15:36:14.657942+00:00,long,1410,1730,234012,1.5,0.000351018,0.04903221130371094,9.972036838531494,10.021069049835205,0.12889719009399414,0.1858808994293213,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,83247deb582d2beae3c5cc447bedb5897dfb10a2115c7b95bbf7f3341a37182d
42,2026-04-02T15:36:38.523545+00:00,long,1410,1730,234024,1.5,0.000351036,0.04742884635925293,9.957268953323364,10.004697799682617,0.13214898109436035,0.12654423713684082,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,007bafa4a2a33a0e9c8273bd086e9bbf6f293c77f53a2173bba766f80f6ddbc2
46,2026-04-02T15:37:02.313829+00:00,long,1410,1730,234024,1.5,0.000351036,0.05286812782287598,9.890920877456665,9.943789005279541,0.12874913215637207,0.12883973121643066,QmPZ9gcCEpqKTo6aq61g2nXGUhM4iCL3ewB6LDXZCtioEB,0.0,762535d8356e7bb15e5352f5c903f123c815842b691bbd87ce10db3911664344
50,2026-04-02T15:37:27.313719+00:00,long,1410,1730,234012,1.5,0.000351018,0.0493161678314209,10.60299801826477,10.652314186096191,0.14159393310546875,0.203125,QmUaoioqU7bxezBQZkUcgcSyoEhzStf9BMoQrnLP2bHSno,0.0,1fec52facdff437f260a9d10454ee8664cb195be2c222c279b84809b52a5d49e
