test_number,timestamp,category,prompt_length,response_length,gas_used,gas_price_gwei,gas_cost_eth,submit_time,confirm_time,total_commit_time,verify_time,retrieve_time,ipfs_cid,ipfs_pin_time,transaction_hash
1,2026-04-02T15:30:13.820554+00:00,short,12,41,251124,1.5,0.000376686,0.04925107955932617,10.335829019546509,10.385080099105835,0.1535637378692627,0.1344897747039795,QmPZ9gcCEpqKTo6aq61g2nXGUhM4iCL3ewB6LDXZCtioEB,0.0,81becd1bec4150d92cdd4596ba9dae8c340c741eae5570bcebb6715c15a8abc3
2,2026-04-02T15:30:26.862193+00:00,medium,207,480,234024,1.5,0.000351036,0.04831886291503906,9.703979015350342,9.75229787826538,0.19474101066589355,0.1314229965209961,QmbWqxBEKC3P8tqsKc98xmWNzrzDtRLMiMPL8wBuTGsMnR,0.0,c0ac6f7b2ce9cb860b105c85ce5f343b575e2d28fe133560a6c88991c448ecfb
3,2026-04-02T15:30:39.275400+00:00,long,1378,1730,234024,1.5,0.000351036,0.050889015197753906,9.231520175933838,9.282409191131592,0.13632488250732422,0.17923402786254883,QmYwAPJzv5CZsnA625s3Xf2nemtYgPpHdWEz79ojWnPbdG,0.0,eb422a4db517a1db33e4288c2877699dba336eeb905f9cfdf9506f842818ce50
