k,accuracy,precision,recall,f1_score,fpr,fnr,tpr,tp,fp,tn,fn
1,0.8698630136986302,0.8835021707670043,0.9768,0.9278115501519757,0.7666666666666667,0.0232,0.9768,1221,161,49,29
2,0.8054794520547945,0.9617590822179732,0.8048,0.8763066202090593,0.19047619047619047,0.1952,0.8048,1006,40,170,244
3,0.7212328767123287,0.986159169550173,0.684,0.807746811525744,0.05714285714285714,0.316,0.684,855,12,198,395
4,0.6116438356164383,0.9913669064748202,0.5512,0.7084832904884318,0.02857142857142857,0.4488,0.5512,689,6,204,561
5,0.3938356164383562,0.997275204359673,0.2928,0.45269016697588127,0.004761904761904762,0.7072,0.2928,366,1,209,884
